family,kva_class,component,mass_kg,source
"Distribution  (avg 1,000 kVA)",1000 kVA,core,500,Representative class average (to be replaced by PLM/BOM)
"Distribution  (avg 1,000 kVA)",1000 kVA,copper,150,Representative class average (to be replaced by PLM/BOM)
"Distribution  (avg 1,000 kVA)",1000 kVA,fluid,500,Representative class average (to be replaced by PLM/BOM)
"Distribution  (avg 1,000 kVA)",1000 kVA,insulation,50,Representative class average (to be replaced by PLM/BOM)
"Distribution  (avg 1,000 kVA)",1000 kVA,structural,300,Representative class average (to be replaced by PLM/BOM)
Medium Power  (avg 25 MVA),25 MVA,core,8000,Representative class average (to be replaced by PLM/BOM)
Medium Power  (avg 25 MVA),25 MVA,copper,3000,Representative class average (to be replaced by PLM/BOM)
Medium Power  (avg 25 MVA),25 MVA,fluid,8000,Representative class average (to be replaced by PLM/BOM)
Medium Power  (avg 25 MVA),25 MVA,insulation,1000,Representative class average (to be replaced by PLM/BOM)
Medium Power  (avg 25 MVA),25 MVA,structural,6000,Representative class average (to be replaced by PLM/BOM)
Large Power   (avg 250 MVA),250 MVA,core,60000,Representative class average (to be replaced by PLM/BOM)
Large Power   (avg 250 MVA),250 MVA,copper,25000,Representative class average (to be replaced by PLM/BOM)
Large Power   (avg 250 MVA),250 MVA,fluid,50000,Representative class average (to be replaced by PLM/BOM)
Large Power   (avg 250 MVA),250 MVA,insulation,8000,Representative class average (to be replaced by PLM/BOM)
Large Power   (avg 250 MVA),250 MVA,structural,40000,Representative class average (to be replaced by PLM/BOM)
